tested_ids,most_possible_intention,most_possible_intention_cf,second_possible_intention,second_possible_intention_cf,third_possible_intention,third_possible_intention_cf,ground_truth_intention
25,agent_1-find-key_3,0.9,agent_1-requesthelp-agent_2-find_key_3,0.07,agent_1-inform-agent_2-searching_for_key_3,0.03,agent_1-find-key_3
26,agent_1-find-key_3,0.7,agent_1-requesthelp-agent_2-find-key_3,0.2,agent_1-inform-agent_2-looking for key_3,0.08,agent_1-find-key_3
27,agent_1-requesthelp-agent_2-find-key_3,0.8,agent_1-find-key_3,0.6,agent_1-inform-agent_2-searching_for_key_3,0.5,agent_1-find-key_3
28,agent_1-find-key_3,0.9,agent_1-requesthelp-agent_2-find-key_3,0.07,agent_1-inform-agent_2-cannotfindkey_3,0.03,agent_1-find-key_3
29,agent_2-putonto-dumbbell_3-table_4,0.85,agent_2-requesthelp-agent_1-putonto-dumbbell_3-table_4,0.1,agent_2-na,0.05,agent_2-putonto-dumbbell_3-table_4
30,agent_2-get-key_6-key_6,0.9,agent_2-putonto-dumbbell_3-table_4,0.8,agent_2-open-box_5,0.7,agent_2-putonto-dumbbell_3-table_4
31,agent_2-putonto-dumbbell_3-table_4,0.95,agent_2-open-box_5,0.9,agent_2-get-dumbbell_3-box_5,0.8,agent_2-putonto-dumbbell_3-table_4
32,agent_2-observe-agent_1,0.8,agent_2-putonto-dumbbell_3-table_4,0.6,agent_2-requesthelp-agent_1-putonto-dumbbell_3-table_4,0.5,agent_2-putonto-dumbbell_3-table_4
33,agent_2-putonto-dumbbell_3-table_4,0.9,agent_2-inform-agent_1-abouttoputdumbbellontable,0.06,agent_2-na,0.03,agent_2-putonto-dumbbell_3-table_4
34,agent_2-putonto-dumbbell_3-table_4,0.85,agent_2-requesthelp-agent_1-putonto-dumbbell_3-table_4,0.2,agent_2-inform-agent_1-completinggoalputdumbbellontable,0.15,agent_2-putonto-key_7-table_4
35,agent_2-putonto-key_7-table_4,0.85,agent_2-find-key_7,0.55,agent_2-putonto-dumbbell_3-table_4,0.3,agent_2-putonto-dumbbell_3-table_4
36,agent_2-respondto-agent_1,0.9,agent_2-observe-agent_1,0.7,agent_2-inform-agent_1-offer_help_for_books_9,0.6,agent_2-greet-agent_1
37,agent_2-help-agent_1-open-box_5,0.8,agent_2-playwith-chess_6-agent_1,0.5,agent_2-observe-agent_1,0.4,agent_2-requesthelp-agent_1-open-shelf_4
38,agent_2-playwith-chess_6-agent_1,0.7,agent_2-requesthelp-agent_1-open-shelf_4,0.5,agent_2-help-agent_1-open-box_5,0.4,agent_2-requesthelp-agent_1-open-shelf_4
39,agent_2-help-agent_1-putinto-chess_6-box_5,0.75,agent_2-playwith-chess_6-agent_1,0.55,agent_2-greet-agent_1,0.4,agent_2-requesthelp-agent_1-open-shelf_4
40,agent_2-help-agent_1-putinto-chess_6-box_5,0.75,agent_2-requesthelp-agent_1-open-shelf_4,0.15,agent_2-na,0.1,agent_2-requesthelp-agent_1-open-shelf_4
41,agent_2-help-agent_1-putinto-chess_6-box_5,0.9,agent_2-putinto-chess_6-box_5,0.85,agent_2-give-chess_6-agent_1,0.7,agent_2-help-agent_1-putinto-chess_6-box_5
42,agent_2-help-agent_1-putinto-chess_6-box_5,0.85,agent_2-inform-agent_1-myplantoputchessinbox,0.45,agent_2-observe-agent_1,0.2,agent_2-help-agent_1-putinto-chess_6-box_5
43,agent_1-inform-agent_2-box_3,0.75,agent_1-greet-agent_2,0.7,agent_1-observe-box_3,0.6,agent_1-requesthelp-agent_2-open-box_3
44,agent_1-find-agent_2,0.6,agent_1-requesthelp-agent_2-open-box_3,0.3,agent_1-find-box_3,0.1,agent_1-requesthelp-agent_2-open-box_3
45,agent_1-inform-agent_2-box_3_is_locked,0.7,agent_1-open-box_3,0.6,agent_1-requesthelp-agent_2-open-box_3,0.5,agent_1-requesthelp-agent_2-open-box_3
46,agent_1-find-agent_2,0.7,agent_1-requesthelp-agent_2-open-box_3,0.65,agent_1-find-box_3,0.5,agent_1-requesthelp-agent_2-open-box_3
47,agent_1-requesthelp-agent_2-open-box_3,0.85,agent_1-open-box_3,0.75,agent_1-inform-agent_2-box_3 is unlocked and needs opening,0.65,agent_1-requesthelp-agent_2-open-box_3
48,agent_1-requesthelp-agent_2-open-box_3,0.7,agent_1-respondto-agent_2,0.2,agent_1-observe-agent_2,0.1,agent_1-requesthelp-agent_2-open-box_3
49,agent_1-requesthelp-agent_2-open-box_3,0.85,agent_1-inform-agent_2-i_cannot_reach_box_3,0.08,agent_1-observe-box_3,0.07,agent_1-requesthelp-agent_2-open-box_3
50,agent_2-inform-agent_1-books_4,0.9,agent_2-help-agent_1-putonto_books_4_table_5,0.7,agent_2-greet-agent_1,0.5,agent_2-greet-agent_1
51,agent_2-observe-agent_1,0.7,agent_2-inform-agent_1-table_5_is_empty,0.6,agent_2-na,0.5,agent_2-get-dumbbell_3-table_5
52,agent_2-give-books_4-agent_1,0.8,agent_2-get-books_4-na,0.65,agent_2-inform-agent_1-books_4,0.5,agent_2-get-dumbbell_3-table_5
53,agent_2-respondto-agent_1,0.7,agent_2-find-dumbbell_3,0.2,agent_2-na,0.1,agent_2-help-agent_1-putonto-books_4-table_5
54,agent_2-respondto-agent_1,0.85,agent_2-na,0.5,agent_2-help-agent_1-putonto-books_4-table_5,0.2,agent_2-give-books_4-agent_1
55,agent_2-give-books_4-agent_1,0.75,agent_2-putonto-books_4-table_5,0.6,agent_2-inform-agent_1-querybookaction,0.55,agent_2-give-books_4-agent_1
56,agent_2-respondto-agent_1,0.8,agent_2-help-agent_1-find-task,0.6,agent_2-find-activity,0.45,agent_2-give-books_4-agent_1
57,agent_2-respondto-agent_1,0.8,agent_2-observe-agent_1,0.6,agent_2-na,0.3,agent_2-observe-world
58,agent_2-respondto-agent_1,0.85,agent_2-find-agent_1,0.7,agent_2-na,0.4,agent_2-observe-world
59,agent_2-respondto-agent_1,0.75,agent_2-observe-agent_1,0.65,agent_2-inform-agent_1-table_5,0.55,agent_2-observe-world
60,agent_2-give-dumbbell_3-agent_1,0.75,agent_2-observe-world,0.4,agent_2-playwith-dumbbell_3-agent_1,0.3,agent_2-requesthelp-agent_1-get-dumbbell_3-na
61,agent_2-get-dumbbell_3-dumbbell_3,0.7,agent_2-respondto-agent_1,0.2,agent_2-requesthelp-agent_1-get-dumbbell_3-dumbbell_3,0.1,agent_2-requesthelp-agent_1-get-dumbbell_3-na
62,agent_2-respondto-agent_1,0.75,agent_2-get-dumbbell_3-agent_1,0.65,agent_2-na,0.5,agent_2-requesthelp-agent_1-get-dumbbell_3-na
63,agent_2-help-agent_1-putonto-books_4-table_5,0.85,agent_2-find-agent_1,0.7,agent_2-inform-agent_1-abouthelpwithbooks,0.55,agent_2-help-agent_1-putonto-books_4-table_5
64,agent_2-inform-agent_1-cannot_see_table_5,0.7,agent_2-find-table_5,0.6,agent_2-requesthelp-agent_1-find-table_5,0.5,agent_2-help-agent_1-putonto-books_4-table_5
65,agent_2-get-dumbbell_3-agent_1,0.85,agent_2-putonto-books_4-table_5,0.7,agent_2-observe-agent_1,0.55,agent_2-help-agent_1-putonto-books_4-table_5
66,agent_2-help-agent_1-give-dumbbell_3-agent_2,0.75,agent_2-get-dumbbell_3-agent_1,0.7,agent_2-find-agent_1,0.55,agent_2-observe-world
67,agent_2-greet-agent_1,0.8,agent_2-find-agent_1,0.65,agent_2-na,0.25,agent_2-observe-world
68,agent_2-find-agent_1,0.7,agent_2-observe-world,0.2,agent_2-greet-agent_1,0.1,agent_2-observe-world
69,agent_2-find-agent_1,0.8,agent_2-observe-world,0.5,agent_2-na,0.3,agent_2-observe-world
70,agent_2-find-agent_1,0.7,agent_2-greet-agent_1,0.6,agent_2-inform-agent_1-queryaboutlocation,0.5,agent_2-observe-world
71,agent_2-find-agent_1,0.6,agent_2-observe-world,0.3,agent_2-na,0.1,agent_2-observe-world
72,agent_2-find-agent_1,0.7,agent_2-greet-agent_1,0.2,agent_2-observe-world,0.1,agent_2-requesthelp-agent_1-get-dumbbell_3-na
73,agent_1-harm-agent_2-observe-chess_3,0.7,agent_1-observe-chess_3,0.2,agent_1-harm-agent_2-playwith-chess_3-agent_1,0.1,agent_1-harm-agent_2-na
74,agent_1-harm-agent_2-playwith-chess_3-agent_1,0.85,agent_1-get-chess_3-agent_1,0.75,agent_1-inform-agent_2-i will not play chess,0.6,agent_1-harm-agent_2-playwith-chess_3-me
75,agent_1-harm-agent_2-playwith-chess_3-me,0.85,agent_1-harm-agent_2-find-chess_3,0.75,agent_1-harm-agent_2-get-chess_3-me,0.65,agent_1-harm-agent_2-find-na-na
76,agent_1-harm-agent_2-find-na,0.8,agent_1-harm-agent_2-find-chess_3,0.7,agent_1-harm-agent_2-playwith-chess_3-agent_1,0.6,agent_1-harm-agent_2-find-na-na
77,agent_1-get-chess_3-agent_2,0.8,agent_1-harm-agent_2-playwith-chess_3-agent_1,0.7,agent_1-harm-agent_2-na,0.6,agent_1-harm-agent_2-na
78,agent_1-harm-agent_2-playwith-chess_3-agent_1,0.85,agent_1-get-chess_3-agent_2,0.8,agent_1-harm-agent_2-na,0.5,agent_1-harm-agent_2-na
79,agent_1-harm-agent_2-playwith-chess_3-me,0.9,agent_1-get-chess_3-agent_2,0.7,agent_1-harm-agent_2-na,0.4,agent_1-harm-agent_2-get-chess_3-me
80,agent_2-find-key_5,0.85,agent_2-help-agent_1-observe-key_5,0.7,agent_2-inform-agent_1-key_5_found,0.65,agent_2-respondto-agent_1
81,agent_2-help-agent_1-get-key_5-table_7,0.9,agent_2-get-key_5-table_7,0.85,agent_2-find-key_5,0.8,agent_2-help-agent_1-find-chess_3
82,agent_2-help-agent_1-find-chess_3,0.6,agent_2-find-agent_1,0.3,agent_2-respondto-agent_1,0.1,agent_2-help-agent_1-find-chess_3
83,agent_2-help-agent_1-find-chess_3,0.65,agent_2-inform-agent_1-myplantohelpfindchess_3,0.25,agent_2-observe-agent_1,0.1,agent_2-find-chess_3
84,agent_2-get-key_5-agent_1,0.7,agent_2-help-agent_1-give-key_5-agent_2,0.6,agent_2-requesthelp-agent_1-find-key_5,0.5,agent_2-inform-agent_1-box_4
85,agent_2-get-key_5-agent_1,0.9,agent_2-open-box_4,0.8,agent_2-help-agent_1-find-chess_3,0.7,agent_2-find-agent_1
86,agent_2-help-agent_1-open_box_4,0.7,agent_2-observe-agent_1,0.5,agent_2-help-agent_1-get_key_3_box_5,0.4,agent_2-find-box_4
87,agent_2-help-agent_1-open_box_4,0.85,agent_2-find-box_4,0.75,agent_2-give-key_3-agent_1,0.6,agent_2-find-key_3
88,agent_2-help-agent_1-open-box_5,0.8,agent_2-find-agent_1,0.7,agent_2-inform-agent_1-box_5_is_open,0.6,agent_2-open-box_4
89,agent_2-open-box_4,0.8,agent_2-requesthelp-agent_1-open-box_4,0.7,agent_2-get-key_3-agent_1,0.6,agent_2-open-box_4
90,agent_2-find-box_4,0.9,agent_2-open-box_4,0.8,agent_2-get-key_3-agent_1,0.7,agent_2-open-box_4
91,agent_2-find-box_4,0.7,agent_2-requesthelp-agent_1-open-box_4,0.6,agent_2-inform-agent_1-cannotseebox4,0.5,agent_2-open-box_4
92,agent_1-help-agent_2-find-chess_6,0.8,agent_1-find-chess_6,0.6,agent_1-find-agent_2,0.5,agent_1-open-box_4
93,agent_1-help-agent_2-putinto-chess_6-box_4,0.85,agent_1-open-box_4,0.6,agent_1-give-key_5-agent_2,0.45,agent_1-inform-agent_2-dumbbell_3
94,agent_1-respondto-agent_2,0.8,agent_1-get-key_5-agent_2,0.75,agent_1-open-box_4,0.7,agent_1-give-dumbbell_3-agent_2
95,agent_1-respondto-agent_2,0.8,agent_1-open-box_4,0.7,agent_1-requesthelp-agent_2-open-box_4,0.6,agent_1-give-dumbbell_3-agent_2
96,agent_1-get-key_5-agent_2,0.7,agent_1-open-box_4,0.6,agent_1-give-dumbbell_3-agent_2,0.35,agent_1-open-box_4
97,agent_1-get-key_5-agent_2,0.85,agent_1-open-box_4,0.75,agent_1-get-dumbbell_3-box_4,0.65,agent_1-inform-agent_2-box_4
98,agent_1-help-agent_2-open-box_4,0.9,agent_1-open-box_4,0.75,agent_1-inform-agent_2-dumbbell_3,0.6,agent_1-inform-agent_2-box_4
99,agent_2-get-key_3-box_4,0.8,agent_2-find-key_3,0.6,agent_2-inform-agent_1-key_3,0.4,agent_2-open-box_4
100,agent_2-get-key_3-box_4,0.8,agent_2-observe-key_3,0.5,agent_2-inform-agent_1-key_3,0.4,agent_2-open-box_4
101,agent_2-give-key_3-agent_1,0.7,agent_2-inform-agent_1-key_3,0.6,agent_2-playwith-key_3-agent_1,0.5,agent_2-find-na
102,agent_2-inform-agent_1-key_3,0.7,agent_2-open-box_6,0.6,agent_2-greet-agent_1,0.5,agent_2-find-key_3
103,agent_2-give-key_3-agent_1,0.7,agent_2-get-key_3-key_3,0.5,agent_2-open-box_6,0.3,agent_2-find-key_3
104,agent_2-get-key_3-agent_1,0.9,agent_2-respondto-agent_1,0.8,agent_2-open-box_6,0.6,agent_2-give-key_3-agent_1
105,agent_2-respondto-agent_1,0.7,agent_2-open-box_6,0.6,agent_2-observe-agent_1,0.5,agent_2-greet-agent_1
106,agent_1-get-chess_5-chess_5,0.9,agent_1-playwith-chess_5-agent_2,0.8,agent_1-inform-agent_2-chess_5,0.6,agent_1-get-chess_5-agent_2
107,agent_1-respondto-agent_2,0.85,agent_1-get-chess_5-agent_2,0.65,agent_1-inform-agent_2-chess_5_goal,0.55,agent_1-putonto-cup_4-table_3
108,agent_1-putonto-cup_4-table_3,0.85,agent_1-requesthelp-agent_2-putonto-cup_4-table_3,0.8,agent_1-inform-agent_2-my_intention_is_to_put_cup_4_onto_table_3,0.65,agent_1-putonto-cup_4-table_3
109,agent_1-inform-agent_2-myplan,0.7,agent_1-putonto-cup_4-table_3,0.6,agent_1-respondto-agent_2,0.5,agent_1-putonto-cup_4-table_3
110,agent_1-inform-agent_2-my_intention_is_putonto_cup_4_table_3,0.7,agent_1-putonto-cup_4-table_3,0.2,agent_1-greet-agent_2,0.1,agent_1-putonto-cup_4-table_3
111,agent_2-putinto-key_3-box_5,0.9,agent_2-get-key_3-box_4,0.75,agent_2-find-box_5,0.5,agent_2-open-box_4
112,agent_2-get-key_3-box_4,0.7,agent_2-respondto-agent_1,0.6,agent_2-find-box_5,0.5,agent_2-get-key_3-box_4
113,agent_2-find-box_5,0.85,agent_2-putinto-key_3-box_5,0.75,agent_2-respondto-agent_1,0.4,agent_2-observe-world
114,agent_2-putinto-key_3-box_6,0.5,agent_2-respondto-agent_1,0.3,agent_2-observe-world,0.2,agent_2-greet-agent_1
115,agent_2-greet-agent_1,0.75,agent_2-open-box_5,0.7,agent_2-putinto-key_3-box_5,0.6,agent_2-open-box_6
116,agent_2-greet-agent_1,0.8,agent_2-putinto-key_3-box_5,0.5,agent_2-find-box_6,0.3,agent_2-open-box_6
117,agent_2-respondto-agent_1,0.8,agent_2-putinto-key_3-box_5,0.6,agent_2-open-box_5,0.4,agent_2-open-box_6
118,agent_1-requesthelp-agent_2-open-box_5,0.8,agent_1-observe-agent_2,0.6,agent_1-get-books_3-box_5,0.4,agent_1-requesthelp-agent_2-open-box_5
119,agent_1-requesthelp-agent_2-get-books_3-box_5,0.85,agent_1-requesthelp-agent_2-open-box_5,0.75,agent_1-get-books_3-box_5,0.7,agent_1-requesthelp-agent_2-open-box_5
120,agent_1-get-books_3-box_5,0.75,agent_1-inform-agent_2-thank you,0.65,agent_1-harm-agent_2-get-books_3-box_5,0.5,agent_1-requesthelp-agent_2-open-box_5
121,agent_1-respondto-agent_2,0.8,agent_1-requesthelp-agent_2-give-books_3-agent_1,0.7,agent_1-get-books_3-agent_2,0.5,agent_1-requesthelp-agent_2-open-box_5
122,agent_1-get-books_3-agent_2,0.7,agent_1-get-books_3-box_5,0.5,agent_1-respondto-agent_2,0.3,agent_1-requesthelp-agent_2-open-box_5
123,agent_1-get-books_3-agent_2,0.6,agent_1-requesthelp-agent_2-give-books_3-agent_1,0.3,agent_1-na,0.1,agent_1-requesthelp-agent_2-open-box_5
124,agent_1-get-books_3-table_4,0.8,agent_1-respondto-agent_2,0.6,agent_1-na,0.3,agent_1-open-box_5
125,agent_2-greet-agent_1,0.7,agent_2-inform-agent_1-shelf_4,0.5,agent_2-open-shelf_4,0.3,agent_2-requesthelp-agent_1-open-shelf_4
126,agent_2-requesthelp-agent_1-get-key_3-box_5,0.7,agent_2-requesthelp-agent_1-open-box_5,0.5,agent_2-requesthelp-agent_1-open-shelf_4,0.3,agent_2-requesthelp-agent_1-open-shelf_4
127,agent_2-respondto-agent_1,0.8,agent_2-observe-shelf_4,0.7,agent_2-open-box_5,0.5,agent_2-open-shelf_4
128,agent_2-respondto-agent_1,0.7,agent_2-playwith-dumbbell_6-agent_1,0.6,agent_2-observe-shelf_4,0.3,agent_2-open-shelf_4
129,agent_1-help-agent_2-open-box_6,0.85,agent_1-respondto-agent_2,0.6,agent_1-find-box_6,0.5,agent_1-observe-agent_2
130,agent_1-help-agent_2-find_timer_5,0.8,agent_1-observe-agent_2,0.6,agent_1-find-timer_5,0.4,agent_1-greet-agent_2
131,agent_1-help-agent_2-find_timer_5,0.85,agent_1-inform-agent_2-can_help_find_timer_5,0.75,agent_1-find-timer_5,0.65,agent_1-help-agent_2-find-timer_5
132,agent_1-observe-agent_2,0.6,agent_1-respondto-agent_2,0.3,agent_1-na,0.1,agent_1-help-agent_2-find-timer_5
133,agent_1-help-agent_2-find-key_7,0.9,agent_1-help-agent_2-open-shelf_4,0.7,agent_1-help-agent_2-get-key_8-shelf_4,0.6,agent_1-help-agent_2-find-timer_5
134,agent_1-help-agent_2-find-timer_5,0.8,agent_1-help-agent_2-get-timer_5-box_6,0.7,agent_1-observe-agent_2,0.5,agent_1-help-agent_2-na
135,agent_1-help-agent_2-putinto-timer_5-shelf_4,0.85,agent_1-open-shelf_4,0.65,agent_1-observe-agent_2,0.5,agent_1-help-agent_2-putinto-timer_5-shelf_4
136,agent_1-get-timer_5-agent_2,0.8,agent_1-help-agent_2-putinto-timer_5-shelf_4,0.6,agent_1-respondto-agent_2,0.4,agent_1-greet-agent_2
137,agent_2-playwith-chess_3-agent_1,0.8,agent_2-observe-agent_1,0.15,agent_2-respondto-agent_1,0.05,agent_2-respondto-agent_1
138,agent_2-playwith-chess_3-agent_1,0.8,"agent_2-help-agent_1-[playwith,chess_3,agent_2]",0.7,agent_2-respondto-agent_1,0.6,agent_2-respondto-agent_1
139,agent_2-playwith-chess_3-agent_1,0.8,agent_2-greet-agent_1,0.6,agent_2-inform-agent_1-playwith_chess_3,0.45,agent_2-observe-agent_1
140,agent_2-playwith-chess_3-agent_1,0.9,agent_2-respondto-agent_1,0.85,agent_2-greet-agent_1,0.7,agent_2-observe-agent_1
141,agent_2-playwith-chess_3-agent_1,0.9,agent_2-respondto-agent_1,0.75,agent_2-help-agent_1-playwith-chess_3-agent_1,0.7,agent_2-playwith-chess_3-agent_1
142,agent_2-playwith-chess_3-agent_1,0.95,agent_2-respondto-agent_1,0.7,agent_2-greet-agent_1,0.6,agent_2-playwith-chess_3-agent_1
143,agent_2-playwith-chess_3-agent_1,0.95,agent_2-respondto-agent_1,0.75,agent_2-observe-agent_1,0.65,agent_2-playwith-chess_3-agent_1
144,agent_2-respondto-agent_1,0.75,agent_2-observe-agent_1,0.15,agent_2-na,0.1,agent_2-help-agent_1-na
145,agent_2-help-agent_1-greet-me,0.9,agent_2-respondto-agent_1,0.8,agent_2-find-agent_1,0.75,agent_2-observe-world
146,agent_2-respondto-agent_1,0.8,agent_2-find-agent_1,0.7,agent_2-help-agent_1-na,0.6,agent_2-observe-world
147,agent_2-respondto-agent_1,0.8,agent_2-find-agent_1,0.7,agent_2-help-agent_1-greet-me,0.6,agent_2-observe-world
148,agent_2-respondto-agent_1,0.7,agent_2-help-agent_1-na,0.6,agent_2-observe-agent_1,0.4,agent_2-give-table_7-agent_1
149,agent_2-inform-agent_1-table_7,0.7,agent_2-help-agent_1-na,0.6,agent_2-observe-agent_1,0.5,agent_2-give-table_7-agent_1
150,agent_1-requesthelp-agent_2-open-box_3,0.7,agent_1-open-box_3,0.6,agent_1-inform-agent_2-open-box_3,0.5,agent_1-open-box_3
151,agent_1-requesthelp-agent_2-open-box_3,0.85,agent_1-open-box_3,0.65,agent_1-get-box_3-box_3,0.6,agent_1-observe-world
152,agent_1-respondto-agent_2,0.6,agent_1-inform-agent_2-my_willingness_to_help,0.25,agent_1-requesthelp-agent_2-open-box_3,0.15,agent_1-observe-world
153,agent_1-find-agent_2,0.9,agent_1-help-agent_2-find-na,0.75,agent_1-observe-world,0.65,agent_1-observe-world
154,agent_1-respondto-agent_2,0.85,agent_1-help-agent_2-inform-agent_1-something,0.75,agent_1-observe-world,0.6,agent_1-observe-world
155,agent_1-respondto-agent_2,0.8,agent_1-na,0.15,agent_1-observe-agent_2,0.05,agent_1-open-box_3
156,agent_1-find-box_3,0.85,agent_1-requesthelp-agent_2-open-box_3,0.75,agent_1-inform-agent_2-open-box_3,0.7,agent_1-open-box_3
157,agent_1-find-agent_2,0.7,agent_1-greet-agent_2,0.6,agent_1-find-object,0.4,agent_1-help-na
158,agent_1-greet-agent_2,0.6,agent_1-observe-agent_2,0.25,agent_1-inform-agent_2-helpoffer,0.15,agent_1-get-key_3
159,agent_1-get-key_3-agent_2,0.9,agent_1-requesthelp-agent_2-get-key_3-agent_2,0.8,agent_1-respondto-agent_2,0.75,agent_1-get-key_3
160,agent_1-find-key_3,0.9,agent_1-get-key_3,0.75,agent_1-observe-box_4,0.7,agent_1-find-key_3
161,agent_1-get-key_3,0.9,agent_1-open-box_5,0.75,agent_1-help-agent_2-open-box_4,0.7,agent_1-find-key_3
162,agent_1-get-key_3,0.85,agent_1-give-key_3-agent_2,0.65,agent_1-open-box_5,0.5,agent_1-get-key_3-na
163,agent_1-inform-agent_2-getting_key_3,0.8,agent_1-give-key_3-agent_2,0.6,agent_1-get-key_3,0.4,agent_1-help-agent_2-give-key_3-me
164,agent_2-find-table_3,0.5,agent_2-find-agent_1,0.3,agent_2-observe-table_3,0.2,agent_2-observe-agent_1
165,agent_2-get-banana_6-banana_6,0.75,agent_2-get-chess_5-chess_5,0.65,agent_2-get-cup_4-cup_4,0.55,agent_2-observe-agent_1
166,agent_2-observe-agent_1,0.6,agent_2-find-chess_5,0.3,agent_2-get-chess_5-chess_5_location,0.08,agent_2-observe-agent_1
167,agent_2-get-cup_4-box_7,0.8,agent_2-close-box_7,0.7,agent_2-find-box_7,0.6,agent_2-observe-agent_1
168,agent_2-get-cup_4-box_7,0.7,agent_2-observe-box_7,0.6,agent_2-find-chess_5,0.4,agent_2-observe-agent_1
169,agent_1-observe-agent_2,0.5,agent_1-na,0.4,agent_1-find-na,0.1,agent_1-observe-world
170,agent_1-observe-agent_2,0.8,agent_1-observe-cup_3,0.7,agent_1-observe-world,0.6,agent_1-requesthelp-agent_2-get-cup_3-na
171,agent_1-harm-agent_2-putonto-cup_3-table_7,0.8,agent_1-get-cup_3-agent_2,0.7,agent_1-requesthelp-agent_2-give-cup_3-agent_1,0.6,agent_1-harm-agent_2-putonto-cup_3-table_7
