tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
67,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
68,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionrotateto-agent_2
69,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-banana_3
70,agent_1-actionopen-box_4,0.8,agent_1-actionpointto-banana_3,0.15,agent_1-actionwait,0.05,agent_1-actionrotateto-banana_3
71,agent_1-actiongrab-banana_3,0.85,agent_1-actionspeak-thank,0.6,agent_1-actionmoveto-box_4,0.3,agent_1-actionmoveto-banana_3
72,actionmoveto-banana_3,0.2,actiongrab-banana_3,0.85,actionmoveto-banana_3,0.2,agent_1-actionopen-box_4
73,agent_2-actionmoveto-box_4,0.7,agent_2-actionpointto-box_4,0.2,agent_2-actionwait,0.1,agent_2-actionwait
74,agent_2-actionspeak-hello,0.7,agent_2-actionwavehand-agent_1,0.2,agent_2-actionwait,0.1,agent_2-actionrotateto-agent_1
75,agent_2-actionnodhead-agent_1,0.3,agent_2-actionwavehand-agent_1,0.1,agent_1-greet-me,1.0,agent_2-actionmoveto-agent_1
76,agent_2-actionspeak-hello,0.8,agent_2-actionwavehand-agent_1,0.6,agent_2-actionnodhead-agent_1,0.5,agent_2-actionspeak-hello!
77,agent_2-actionopen-box_6,0.7,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionspeak-thank_you,0.1,agent_2-actionrotateto-box_6
78,agent_2-actionopen-box_6,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionwait,0.1,"agent_2-actionrotateto-[-658.0, -392.0]"
79,agent_2-actionopen-box_6,0.9,agent_2-actionspeak-hello,0.05,agent_2-actionwait,0.05,agent_2-actionmoveto-box_6
80,agent_2-actiongrab-key_3,0.7,agent_2-actionmoveto-key_3,0.2,agent_2-actionwait,0.1,agent_2-actionopen-box_4
81,agent_2-actiongrab-key_3,0.95,agent_2-actionwait,0.03,agent_2-actionmoveto-key_3,0.02,agent_2-actiongrab-key_3
82,agent_2-actionmovetoattention-agent_1,0.5,agent_2-actiongiveto-key_3-agent_1,0.3,agent_2-actionspeak-hello,0.2,agent_2-actionspeak-hello!
83,agent_2-actionmoveto-box_6,0.6,agent_2-actionspeak-thank,0.3,agent_2-actionwait,0.1,"agent_2-actionmoveto-[532.0, -97.99999999999989]"
84,agent_2-actiongrab-key_3,0.6,agent_2-actionpointto-key_3,0.3,agent_2-actionmoveto-agent_1,0.1,agent_2-actionmoveto-box_4
85,Agent_2-ActionGiveTo-Key_3-Agent_1,0.95,Agent_2-ActionSpeak-thank you,0.03,Agent_2-ActionMoveTo-Agent_1,0.02,agent_2-actionmoveto-box_4
86,agent_2-actionwavehand-agent_1,0.3,agent_2-actionnodhead-agent_1,0.1,agent_2-greet-agent_1,1.0,agent_2-actionmoveto-agent_1
87,agent_1-actiongrab-chess_5,0.8,agent_1-actionmoveto-agent_2,0.15,agent_1-actionwait,0.05,agent_1-actionmoveto-chess_5
88,agent_1-actiongrab-cup_4,0.7,agent_1-actionmoveto-box_7,0.2,agent_1-actionwait,0.1,agent_1-actionmoveto-cup_4
89,agent_1-actionputonto-cup_4-table_3,0.7,agent_1-actiongrab-cup_4,0.2,agent_1-actionwait,0.1,agent_1-actiongrab-cup_4
90,agent_1-actionputonto-cup_4-table_3,0.95,agent_1-actionmoveto-table_3,0.03,agent_1-actionwait,0.02,agent_1-actionmoveto-table_3
91,agent_1-actionputonto-cup_4-table_3,0.95,agent_1-actiongrab-cup_4,0.03,agent_1-actionspeak-thank,0.02,agent_1-actionputonto-cup_4
92,agent_2-actionspeak-hello,0.7,agent_2-actionwavehand-agent_1,0.2,agent_2-actionpointto-shelf_4,0.1,agent_2-actionpointto-shelf_4
93,agent_2-actionwavehand-agent_1,0.6,agent_2-actionspeak-hello,0.3,agent_2-actionpointto-shelf_4,0.1,agent_2-actionrotateto-box_5
94,agent_2-actionopen-shelf_4,0.95,agent_2-actionpointto-shelf_4,0.03,agent_2-actionmoveto-shelf_4,0.02,agent_2-actionmoveto-shelf_4
95,actionopen-shelf_4,0.7,actionwait,0.2,actionpointto-shelf_4,0.1,agent_2-actionopen-shelf_4
96,agent_1-actionwavehand-agent_2,0.5,agent_1-actionpointto-shelf_4,0.3,agent_1-actionmoveto-agent_2,0.2,agent_1-actionspeak-hello!
97,agent_1-actionwavehand-agent_2,0.7,agent_1-actionnodhead-agent_2,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionpointto-box_6
98,agent_1-actionpointto-shelf_4,0.7,agent_1-actionwait,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionnodhead
99,agent_1-actionpointto-shelf_4,0.7,agent_1-actionnodhead-agent_2,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionpointto-key_7
100,agent_1-actiongrab-timer_5,0.7,agent_1-actionpointto-timer_5,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionwait
101,agent_1-actiongrab-timer_5,0.7,agent_1-actionpointto-timer_5,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
102,agent_1-actionpointto-shelf_4,0.7,agent_1-actionwait,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionpointto-shelf_4
103,agent_1-actionspeak-thank,0.5,agent_1-actionnodhead-agent_2,0.3,agent_1-actionpointto-shelf_4,0.2,agent_1-actionwavehand
104,agent_1-actionpointto-books_3,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionmoveto-books_3,0.2,agent_1-actionpointto-books_3
105,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-hello,0.3,agent_1-actiongrab-books_3,0.2,agent_1-actionmoveto-books_3
106,agent_1-actionpointto-table_5,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
107,agent_1-actionpointto-table_5,0.7,agent_1-actiongrab-books_3,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-books_3
108,agent_1-actionunlock-box_3,0.8,agent_1-actionopen-box_3,0.15,agent_1-actionwait,0.05,agent_1-actionmoveto-box_3
109,agent_1-actionspeak-hello,0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actionnodhead-agent_2,0.2,"agent_1-actionmoveto-[-98.0, -196.0]"
110,agent_1-actionfollowpointing-agent_2,0.7,agent_1-actionmovetoattention-agent_2,0.2,agent_1-actionspeak-thank_you,0.1,"agent_1-actionmoveto-[252.0000000000001, 322.0]"
111,agent_1-actiongrab-key_4,0.8,agent_1-actionspeak-thank_you,0.6,agent_1-actionmoveto-box_3,0.5,"agent_1-actionmoveto-[322.0, 126.0]"
112,agent_1-actiongrab-key_4,0.7,agent_1-actionmoveto-box_3,0.2,agent_1-actionspeak-thank_you,0.1,"agent_1-actionmoveto-[294.0, 154.0]"
113,agent_1-actiongrab-key_4,0.7,agent_1-actionmoveto-box_3,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionmoveto-key_4
114,agent_2-actionmoveto-box_5,0.5,agent_2-actionrotateto-box_5,0.3,agent_2-actionwait,0.2,agent_2-actionmoveto-key_8
115,agent_2-actiongrab-key_8,0.95,agent_2-actionwait,0.03,agent_2-actionmoveto-key_8,0.02,agent_2-actiongrab-key_8
116,agent_2-actionopen-box_7,0.95,agent_2-actiongrab-chess_6,0.03,agent_2-actionmoveto-box_7,0.02,agent_2-actionmoveto-box_7
117,agent_2-actiongrab-chess_6,0.95,agent_2-actionmoveto-chess_6,0.03,agent_2-actionspeak-hello,0.02,agent_2-actionunlock-box_7
118,agent_2-actiongrab-chess_6,0.9,agent_2-actionmoveto-chess_6,0.05,agent_2-actionwait,0.05,agent_2-actionopen-box_7
119,agent_2-actiongrab-chess_6,0.95,agent_2-actionmoveto-chess_6,0.03,agent_2-actionnodhead-agent_1,0.02,agent_2-actiongrab-chess_6
120,agent_2-actionplay-chess_6,0.8,agent_2-actionspeak-hello,0.15,agent_2-actionwait,0.05,agent_2-actionmovetoattention-agent_1
121,agent_2-actiongrab-chess_6,0.6,agent_2-actionpointto-box_7,0.3,agent_2-actionplay-chess_6,0.1,agent_2-actionopen-box_7
122,agent_2-actionmoveto-box_7,0.5,agent_2-actionmoveto-key_5,0.3,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionmovetoattention-agent_1
123,agent_2-actiongrab-key_5,0.5,agent_2-actionmoveto-box_7,0.3,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionmoveto-box_4
124,agent_2-actiongrab-key_5,0.8,agent_2-actionunlock-box_4,0.15,agent_2-actionfollowpointing-agent_1,0.05,agent_2-actionmoveto-key_5
125,agent_2-actionopen-box_4,0.5,agent_2-actiongrab-key_5,0.3,agent_2-actionspeak-hello,0.2,agent_2-actiongrab-key_5
126,agent_2-actionopen-box_4,0.9,agent_2-actionmoveto-agent_1,0.7,agent_2-actionspeak-hello,0.3,agent_2-actionmoveto-box_4
127,agent_2-actionopen-box_4,0.7,agent_2-actiongrab-dumbbell_3,0.2,agent_2-actionmoveto-box_7,0.1,agent_2-actionunlock-box_4
128,agent_1-actionmoveto-chess_3,0.5,agent_1-actionpointto-chess_3,0.3,agent_1-actionplay-chess_3,0.2,"agent_1-actionrotateto-[-322.0, 546.0]"
129,agent_1-actionplay-chess_3,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionmoveto-chess_3
130,agent_1-actionplay-chess_3,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwavehand-agent_2,0.1,agent_1-actiongrab-chess_3
131,agent_1-actionplay-chess_3,0.7,agent_1-actionwavehand-agent_2,0.2,agent_1-actionspeak-hello,0.1,"agent_1-actionmoveto-[265.9999999999999, -70.00000000000011]"
132,agent_1-actionspeak-hello,0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actionmoveto-agent_2,0.2,agent_1-actionputdown-chess_3
133,"agent_1-actionmoveto-[348, -30]",0.5,"agent_1-actionrotateto-[500, 0]",0.3,agent_1-actionwait,0.2,agent_1-actionpointto-chess_3
134,agent_2-actionspeak-hello,0.6,agent_2-actionwavehand-agent_1,0.3,agent_2-actionmoveto-agent_1,0.1,agent_2-actionspeak-thank you!
135,agent_2-actionmoveto-dumbbell_6,0.7,agent_2-actionrotateto-dumbbell_6,0.2,agent_2-actionwait,0.1,"agent_2-actionrotateto-[279.9999999999999, 182.0]"
136,actionmoveto-dumbbell_6,0.2,actionwait,0.1,actionputinto,0.7,agent_2-actionmoveto-shelf_4
137,agent_2-actionpointto-dumbbell_6,0.6,agent_2-actionmoveto-dumbbell_6,0.3,agent_2-actionwait,0.1,agent_2-actionopen-shelf_4
138,agent_2-actionmoveto-shelf_4,0.5,agent_2-actionrotateto-shelf_4,0.3,agent_2-actionpointto-dumbbell_3,0.2,"agent_2-actionrotateto-[658.0, 112.0]"
139,agent_2-actionmoveto-dumbbell_3,0.7,agent_2-actiongrab-dumbbell_3,0.2,agent_2-actionrequesthelp-agent_1-putinto-dumbbell_3-shelf_4,0.1,agent_2-actionmovetoattention-agent_1
140,agent_2-actionmoveto-shelf_4,0.6,agent_2-actionrotateto-shelf_4,0.3,agent_2-actionwait,0.1,agent_2-actionpointto-shelf_4
141,agent_2-actionpointto-shelf_4,0.6,agent_2-actionnodhead-agent_1,0.3,agent_2-actionwait,0.1,agent_2-actionwait
142,agent_2-actionpointto-box_3,0.7,agent_2-actionspeak-hello,0.2,agent_2-actionwait,0.1,agent_2-actionpointto-key_4
143,agent_2-actionpointto-box_3,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionwait,0.1,"agent_2-actionrotateto-[448.0, -70.00000000000011]"
144,agent_2-actionpointto-box_3,0.7,"agent_2-actionrotateto-[-400, 200]",0.2,agent_2-actionwait,0.1,agent_2-actionrotateto-agent_1
145,actionpointto,1.0,actionwait,0.2,actionrotateto,0.1,agent_2-actionrotateto-agent_1
146,agent_2-actionpointto-box_3,0.85,agent_2-actionrotateto-box_3,0.7,agent_2-actionwait,0.2,"agent_2-actionmoveto-[-364.0, -490.0]"
147,agent_2-actionpointto-box_3,0.75,agent_2-actionrotateto-box_3,0.15,agent_2-actionwait,0.1,"agent_2-actionrotateto-[-322.0, -322.0]"
148,agent_2-actionpointto-box_3,0.85,agent_2-actionrotateto-box_3,0.7,agent_2-actionwait,0.5,agent_2-actionrotateto-agent_1
149,agent_1-actionpointto-key_3,0.5,agent_1-actionmoveto-box_4,0.3,agent_1-actionwavehand-agent_2,0.2,agent_1-actionspeak-thank you!
150,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionpointto-key_3,0.2,agent_1-actionspeak-thank you!
151,agent_1-actiongrab-key_3,0.7,agent_1-actionpointto-key_3,0.2,agent_1-actionspeak-hello,0.1,agent_1-actionmovetoattention-agent_2
152,actionnodhead-agent_2,0.2,actiongrab-key_3,0.7,actionnodhead-agent_2,0.2,agent_1-actionmoveto-key_3
153,agent_1-actiongrab-key_3,0.95,agent_1-actionspeak-thank,0.03,agent_1-actionfollowpointing-agent_2,0.02,agent_1-actiongrab-key_3
154,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-hello,0.3,agent_1-actionnodhead-agent_2,0.2,agent_1-actionmoveto-agent_2
155,agent_1-actiongrab-chess_3,0.65,agent_1-actiongiveto-chess_3-agent_2,0.25,agent_1-actionspeak-hello,0.1,agent_1-actionmoveto-chess_3
156,agent_1-actiongiveto-chess_3-agent_2,0.7,agent_1-actiongrab-chess_3,0.2,agent_1-actionspeak-thank,0.1,agent_1-actiongrab-chess_3
157,agent_1-actionplay-chess_3,0.7,agent_1-actiongiveto-chess_3-agent_2,0.2,agent_1-actionspeak-hello,0.1,"agent_1-actionmoveto-[378.0, 98.0]"
158,agent_1-actionplay-chess_3,0.5,agent_1-actiongrab-chess_3,0.3,agent_1-actionmoveto-agent_2,0.2,agent_1-actionspeak-hello!
159,agent_1-actionplay-chess_3,0.7,agent_1-actionpointto-chess_3,0.2,agent_1-actionwait,0.1,agent_1-actionmoveto-agent_2
160,agent_1-actionplay-chess_3,0.7,agent_1-actionmoveto-agent_2,0.2,agent_1-actionspeak-hello,0.1,"agent_1-actionmoveto-[546.0, -168.0]"
161,agent_2-actionwait,0.6,agent_2-actionmoveto-banana_6,0.3,agent_2-actionwavehand-agent_1,0.1,agent_2-actionpointto-dumbbell_3
162,agent_2-actiongrab-key_5,0.8,agent_2-actionmoveto-box_7,0.6,agent_2-actionwait,0.3,agent_2-actionmoveto-key_5
163,actiongrab-key_5,0.8,actionmoveto-box_7,0.15,actionwait,0.05,agent_2-actionopen-box_7
164,agent_2-actiongrab-key_5,0.9,agent_2-actionmoveto-box_4,0.7,agent_2-actionspeak-inform-agent_1-key_5-unlocks-box_4,0.4,agent_2-actiongrab-key_5
165,agent_2-actionunlock-box_4,0.5,agent_2-actionspeak-thank,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actionrotateto-agent_1
166,agent_2-actionfollowpointing-agent_1,0.7,agent_2-actionmoveto-banana_6,0.6,agent_2-actiongrab-key_5,0.2,agent_2-actionmoveto-banana_6
167,agent_2-actionunlock-box_4,0.5,agent_2-actionnodhead-agent_1,0.3,agent_2-actionopen-box_4,0.2,agent_2-actionmoveto-box_4
168,agent_1-actionopen-box_6,0.7,agent_1-actiongrab-box_6,0.2,agent_1-actionmoveto-box_6,0.1,agent_1-actionmoveto-box_6
169,agent_1-actionopen-box_4,0.85,agent_1-actionmoveto-box_5,0.6,agent_1-actionwait,0.3,agent_1-actionopen-box_6
170,agent_1-actiongrab-key_3,0.95,agent_1-actionmoveto-key_3,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionmoveto-box_4
171,agent_1-actiongrab-key_3,0.95,agent_1-actionmoveto-box_4,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionopen-box_4
172,agent_1-actiongrab-key_3,0.85,agent_1-actionspeak-thank_you,0.1,agent_1-actionmoveto-key_3,0.05,agent_1-actiongrab-key_3
173,agent_1-actionmoveto-chess_3,0.6,agent_1-actionpointto-chess_3,0.3,agent_1-actionwavehand-agent_2,0.1,agent_1-actionpointto-chess_3
174,agent_1-actionplay-chess_3,0.9,agent_1-actiongrab-chess_3,0.7,agent_1-actionspeak-thank,0.4,agent_1-actionmoveto-chess_3
175,agent_1-actionplay-chess_3,0.95,agent_1-actionnodhead-agent_2,0.03,agent_1-actionspeak-thank,0.02,agent_1-actionplay-chess_3
176,agent_1-actionspeak-hello,0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actionwait,0.2,agent_1-actionspeak-hello!
177,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-chess_3
178,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-box_4
179,agent_1-actionpointto-box_4,0.5,agent_1-actionshakehead-agent_2,0.3,agent_1-actionwait,0.2,agent_1-actionmovetoattention-agent_2
180,agent_1-actionpointto-box_4,0.7,agent_1-actionspeak-thank,0.2,agent_1-actiongrab-chess_3,0.1,agent_1-actionpointto-box_4
181,agent_1-actionpointto-box_4,0.5,agent_1-actionspeak-thank,0.3,agent_1-actionwait,0.2,agent_1-actionmoveto-chess_3
